"","person_income","person_home_ownership","loan_grade","loan_amnt","loan_status","loan_percent_income","cb_person_default_on_file","emp_cat","ir_cat"
"118",48000,"RENT","B",25000,1,0.52,"N","0-15","8-11"
"119",12996,"OTHER","Other",3600,1,0.28,"N","0-15","13.5+"
"120",12996,"OTHER","B",4750,1,0.37,"N","0-15","Missing"
"121",42360,"RENT","Other",25000,1,0.59,"Y","0-15","13.5+"
"122",49000,"RENT","B",25000,1,0.51,"N","0-15","8-11"
"123",225000,"MORTGAGE","Other",25000,0,0.11,"N","0-15","13.5+"
"124",225000,"RENT","A",3000,0,0.01,"N","0-15","8-11"
"125",225000,"RENT","A",7500,0,0.03,"N","0-15","8-11"
"126",225000,"MORTGAGE","B",25000,0,0.11,"N","0-15","8-11"
"127",49464,"RENT","B",25000,1,0.51,"N","0-15","11-13.5"
"128",50000,"RENT","A",25000,1,0.5,"N","0-15","0-8"
"129",50000,"RENT","A",25000,1,0.5,"N","0-15","0-8"
"130",44000,"RENT","Other",25000,1,0.57,"N","0-15","13.5+"
"131",50000,"RENT","B",25000,1,0.5,"N","0-15","11-13.5"
"132",50004,"RENT","B",25000,1,0.5,"N","0-15","8-11"
"133",50004,"RENT","C",25000,1,0.5,"N","0-15","11-13.5"
"134",52000,"RENT","B",25000,1,0.48,"N","0-15","11-13.5"
"135",13200,"OTHER","A",4950,1,0.38,"N","0-15","0-8"
"136",220000,"MORTGAGE","B",25000,0,0.11,"N","0-15","11-13.5"
"137",216000,"MORTGAGE","A",21000,0,0.1,"N","0-15","8-11"
"138",216000,"MORTGAGE","Other",25000,0,0.12,"N","0-15","13.5+"
"139",216000,"MORTGAGE","C",20000,0,0.09,"Y","0-15","13.5+"
"140",215000,"MORTGAGE","C",35000,0,0.16,"Y","0-15","13.5+"
"141",215000,"MORTGAGE","A",12000,0,0.06,"N","0-15","0-8"
"142",52000,"RENT","C",25000,1,0.48,"N","0-15","11-13.5"
"143",46000,"RENT","Other",25000,1,0.54,"N","0-15","11-13.5"
"144",53000,"RENT","C",25000,1,0.47,"Y","0-15","11-13.5"
"145",47000,"RENT","Other",25000,1,0.53,"Y","0-15","13.5+"
"146",47000,"RENT","Other",25000,1,0.53,"N","0-15","13.5+"
"147",13200,"MORTGAGE","B",1400,0,0.11,"N","0-15","8-11"
"148",13200,"OTHER","C",4500,1,0.34,"N","0-15","11-13.5"
"149",210000,"MORTGAGE","B",16000,0,0.08,"N","0-15","8-11"
"150",210000,"OTHER","B",22000,0,0.1,"N","0-15","11-13.5"
"151",48000,"RENT","Other",25000,1,0.52,"N","0-15","13.5+"
"152",54996,"RENT","B",25000,1,0.45,"N","0-15","Missing"
"153",55000,"RENT","Other",25000,1,0.45,"Y","0-15","Missing"
"154",55000,"RENT","B",25000,1,0.45,"N","0-15","11-13.5"
"155",55000,"RENT","Other",25000,1,0.45,"Y","0-15","13.5+"
"156",55164,"RENT","C",25000,1,0.45,"Y","0-15","11-13.5"
"157",56000,"RENT","C",25000,1,0.45,"N","0-15","11-13.5"
"158",203500,"OTHER","C",20000,0,0.1,"N","0-15","11-13.5"
"159",190000,"MORTGAGE","Other",22000,1,0.12,"Y","0-15","13.5+"
"160",13920,"OTHER","Other",7750,1,0.56,"N","0-15","13.5+"
"161",60000,"RENT","B",25000,1,0.42,"N","0-15","8-11"
"162",60000,"RENT","B",25000,1,0.42,"N","0-15","11-13.5"
"163",54000,"RENT","Other",25000,1,0.46,"Y","0-15","13.5+"
"164",14000,"OTHER","Other",4000,1,0.29,"N","0-15","Missing"
"165",2e+05,"RENT","B",12000,0,0.06,"N","0-15","11-13.5"
"166",2e+05,"MORTGAGE","C",12000,0,0.06,"N","0-15","11-13.5"
"167",2e+05,"MORTGAGE","C",16000,0,0.08,"N","0-15","13.5+"
"168",54000,"RENT","Other",25000,1,0.46,"N","0-15","13.5+"
"169",60000,"RENT","C",25000,1,0.42,"N","0-15","11-13.5"
"170",60000,"RENT","B",25000,1,0.42,"N","0-15","8-11"
"171",60000,"RENT","B",25000,1,0.42,"N","0-15","8-11"
"172",61959,"RENT","C",25000,1,0.4,"N","0-15","11-13.5"
"173",56400,"RENT","Other",25000,1,0.44,"Y","0-15","13.5+"
"174",2e+05,"MORTGAGE","A",28000,0,0.14,"N","0-15","Missing"
"175",2e+05,"MORTGAGE","C",25000,0,0.13,"N","0-15","13.5+"
"176",2e+05,"MORTGAGE","A",24000,0,0.12,"N","0-15","0-8"
"177",2e+05,"MORTGAGE","C",15000,0,0.07,"N","0-15","13.5+"
"178",2e+05,"MORTGAGE","B",15500,0,0.08,"N","0-15","11-13.5"
"179",2e+05,"RENT","A",10000,0,0.05,"N","0-15","8-11"
"180",66000,"RENT","B",25000,1,0.38,"N","0-15","8-11"
"181",66000,"RENT","C",25000,1,0.38,"Y","0-15","11-13.5"
"182",2e+05,"MORTGAGE","A",9000,0,0.04,"N","0-15","0-8"
"183",2e+05,"RENT","Other",18000,0,0.09,"N","0-15","13.5+"
"184",2e+05,"MORTGAGE","B",12000,0,0.06,"N","0-15","8-11"
"185",2e+05,"MORTGAGE","C",23050,0,0.12,"N","0-15","13.5+"
"186",2e+05,"MORTGAGE","B",20000,0,0.1,"N","0-15","Missing"
"187",60000,"RENT","Other",25000,1,0.42,"Y","0-15","Missing"
"188",14400,"OTHER","B",3000,1,0.21,"N","0-15","Missing"
"189",66996,"RENT","Other",25000,1,0.37,"Y","0-15","13.5+"
"190",67000,"RENT","A",25000,1,0.37,"N","0-15","0-8"
"191",67000,"RENT","B",25000,1,0.37,"N","0-15","8-11"
"192",68000,"RENT","Other",25000,1,0.37,"Y","0-15","13.5+"
"193",69000,"RENT","Other",25000,1,0.36,"N","0-15","13.5+"
"194",2e+05,"MORTGAGE","B",12000,0,0.06,"N","0-15","11-13.5"
"195",188000,"MORTGAGE","Other",20000,1,0.11,"N","0-15","13.5+"
"196",2e+05,"MORTGAGE","C",3000,0,0.01,"N","0-15","13.5+"
"197",69996,"RENT","Other",25000,1,0.36,"N","0-15","13.5+"
"198",14400,"OTHER","B",4000,1,0.28,"N","0-15","8-11"
"199",70000,"RENT","B",25000,1,0.36,"N","0-15","11-13.5"
"200",14400,"OTHER","A",6000,1,0.42,"N","0-15","0-8"
"201",56100,"RENT","Other",25000,1,0.38,"N","0-15","13.5+"
"202",66000,"RENT","Other",25000,1,0.38,"Y","0-15","13.5+"
"203",66000,"RENT","B",25000,1,0.38,"N","0-15","11-13.5"
"204",14400,"OTHER","A",5375,1,0.37,"N","0-15","0-8"
"205",72612,"RENT","C",25000,1,0.34,"N","0-15","11-13.5"
"206",74000,"RENT","B",25000,1,0.34,"N","0-15","8-11"
"207",75000,"RENT","B",25000,1,0.33,"N","0-15","8-11"
"208",192000,"RENT","C",22000,0,0.11,"Y","0-15","Missing"
"209",192000,"MORTGAGE","A",20000,0,0.1,"N","45+","0-8"
"210",191000,"MORTGAGE","B",10000,0,0.05,"N","0-15","11-13.5"
"211",190300,"MORTGAGE","A",15000,0,0.08,"N","0-15","Missing"
"212",190000,"MORTGAGE","C",10000,0,0.05,"N","0-15","Missing"
"213",75000,"RENT","B",25000,1,0.33,"N","0-15","8-11"
"214",71000,"RENT","Other",25000,1,0.35,"Y","0-15","13.5+"
"215",190000,"MORTGAGE","B",20000,0,0.11,"N","0-15","11-13.5"
"216",189996,"OTHER","B",24000,0,0.13,"N","0-15","11-13.5"
"217",78000,"RENT","C",25000,1,0.32,"Y","0-15","Missing"
"218",78000,"RENT","B",25000,1,0.32,"N","0-15","8-11"
"219",78504,"RENT","B",25000,1,0.32,"N","0-15","8-11"
"220",186000,"OTHER","B",10000,0,0.05,"N","0-15","8-11"
"221",185000,"MORTGAGE","B",35000,0,0.19,"N","Missing","11-13.5"
"222",185000,"RENT","C",15000,0,0.08,"N","0-15","13.5+"
"223",62050,"RENT","Other",25000,1,0.34,"Y","0-15","13.5+"
"224",79416,"RENT","Other",25000,1,0.31,"Y","0-15","13.5+"
"225",14400,"OTHER","C",6250,1,0.43,"N","0-15","13.5+"
"226",79631,"RENT","Other",25000,1,0.31,"Y","0-15","13.5+"
"227",79632,"RENT","C",25000,1,0.31,"N","0-15","11-13.5"
"228",14400,"MORTGAGE","C",1500,0,0.1,"N","0-15","Missing"
"229",80000,"RENT","A",25000,1,0.31,"N","0-15","0-8"
"230",80000,"RENT","C",25000,1,0.31,"N","0-15","13.5+"
"231",185000,"RENT","B",25000,0,0.14,"N","0-15","11-13.5"
"232",185000,"OTHER","A",5000,0,0.03,"N","0-15","0-8"
"233",184992,"RENT","Other",22000,0,0.12,"Y","0-15","13.5+"
"234",184000,"OTHER","B",2500,0,0.01,"N","0-15","11-13.5"
"235",172000,"MORTGAGE","C",20000,1,0.12,"Y","0-15","11-13.5"
"236",183000,"MORTGAGE","B",20000,0,0.11,"N","0-15","11-13.5"
"237",183000,"MORTGAGE","A",1000,0,0.01,"N","0-15","Missing"
"238",182952,"MORTGAGE","A",15000,0,0.08,"N","0-15","0-8"
"239",74004,"RENT","Other",25000,1,0.34,"N","0-15","13.5+"
"240",74004,"RENT","Other",25000,1,0.34,"Y","0-15","Missing"
"241",81000,"RENT","A",25000,1,0.31,"N","0-15","0-8"
"242",81600,"RENT","B",25000,1,0.31,"N","0-15","11-13.5"
"243",82000,"RENT","B",25000,0,0.3,"N","0-15","8-11"
"244",83000,"RENT","B",25000,0,0.3,"N","0-15","11-13.5"
"245",83000,"RENT","Other",25000,0,0.3,"Y","0-15","11-13.5"
"246",180000,"RENT","Other",18000,0,0.1,"Y","0-15","13.5+"
"247",180000,"MORTGAGE","A",28000,0,0.16,"N","0-15","0-8"
"248",14400,"OTHER","Other",4000,1,0.28,"N","0-15","13.5+"
"249",14400,"OTHER","B",2100,0,0.15,"N","0-15","11-13.5"
"250",84500,"RENT","Other",25000,0,0.3,"N","0-15","13.5+"
"251",85000,"RENT","B",25000,0,0.29,"N","0-15","8-11"
"252",180000,"MORTGAGE","B",14000,0,0.08,"N","0-15","11-13.5"
"253",180000,"MORTGAGE","B",12000,0,0.07,"N","0-15","8-11"
"254",142800,"MORTGAGE","Other",10000,1,0.06,"N","0-15","13.5+"
"255",14664,"MORTGAGE","C",6000,1,0.41,"N","0-15","Missing"
"256",87000,"RENT","Other",25000,0,0.29,"N","0-15","13.5+"
"257",75000,"RENT","Other",25000,1,0.33,"Y","0-15","13.5+"
"258",76000,"RENT","Other",25000,1,0.33,"N","0-15","13.5+"
"259",66215,"RENT","Other",25000,1,0.32,"Y","0-15","13.5+"
"260",90000,"RENT","B",25000,0,0.28,"N","0-15","8-11"
"261",15000,"OTHER","A",6200,1,0.41,"N","0-15","0-8"
"262",180000,"OTHER","B",25000,0,0.14,"N","0-15","8-11"
"263",180000,"OTHER","B",21000,0,0.12,"N","0-15","11-13.5"
"264",180000,"OTHER","C",20000,0,0.11,"Y","0-15","13.5+"
"265",180000,"OTHER","A",10000,0,0.06,"N","0-15","0-8"
"266",180000,"MORTGAGE","B",9950,0,0.06,"N","0-15","11-13.5"
"267",15000,"OTHER","B",4475,1,0.3,"N","0-15","Missing"
"268",78000,"RENT","Other",25000,1,0.32,"Y","0-15","13.5+"
"269",66300,"RENT","Other",25000,1,0.32,"Y","0-15","13.5+"
"270",90000,"RENT","B",25000,0,0.28,"N","0-15","11-13.5"
"271",79000,"RENT","Other",25000,1,0.32,"Y","0-15","13.5+"
"272",91800,"RENT","C",25000,0,0.27,"Y","0-15","11-13.5"
"273",92000,"RENT","B",25000,0,0.27,"N","0-15","11-13.5"
"274",92000,"RENT","C",25000,0,0.27,"Y","0-15","11-13.5"
"275",93600,"RENT","Other",25000,0,0.27,"N","0-15","13.5+"
"276",15000,"MORTGAGE","C",1750,0,0.12,"Y","0-15","11-13.5"
"277",70550,"RENT","Other",25000,1,0.3,"Y","0-15","13.5+"
"278",83800,"RENT","Other",25000,1,0.3,"Y","0-15","13.5+"
"279",175000,"MORTGAGE","A",2600,0,0.01,"N","0-15","8-11"
"280",175000,"MORTGAGE","A",8000,0,0.05,"N","0-15","0-8"
"281",175000,"MORTGAGE","B",18000,0,0.1,"N","0-15","Missing"
"282",175000,"MORTGAGE","B",21000,0,0.12,"N","0-15","11-13.5"
"283",15000,"OTHER","C",4000,1,0.27,"N","0-15","13.5+"
"284",15000,"OTHER","B",4600,1,0.31,"N","0-15","8-11"
"285",88000,"RENT","Other",25000,1,0.28,"Y","0-15","13.5+"
"286",74800,"RENT","B",25000,1,0.28,"N","0-15","8-11"
"287",88000,"RENT","Other",25000,1,0.28,"N","0-15","13.5+"
"288",15000,"OTHER","Other",1750,0,0.12,"Y","0-15","13.5+"
"289",88000,"RENT","Other",25000,1,0.28,"N","0-15","13.5+"
"290",1e+05,"RENT","B",25000,0,0.25,"N","0-15","8-11"
"291",15000,"MORTGAGE","C",3600,1,0.24,"N","0-15","11-13.5"
"292",102400,"RENT","B",25000,0,0.24,"N","0-15","8-11"
"293",92000,"RENT","Other",25000,1,0.27,"Y","0-15","13.5+"
"294",93000,"RENT","Other",25000,1,0.27,"Y","0-15","13.5+"
"295",175000,"RENT","C",3500,0,0.02,"Y","0-15","11-13.5"
"296",175000,"MORTGAGE","A",7200,0,0.04,"N","0-15","8-11"
"297",174708,"RENT","B",9000,0,0.05,"N","0-15","8-11"
"298",174000,"MORTGAGE","C",8800,0,0.05,"N","0-15","13.5+"
"299",174000,"RENT","B",12000,0,0.07,"N","0-15","11-13.5"
"300",162000,"MORTGAGE","Other",25000,1,0.15,"Y","0-15","13.5+"
"301",173467,"MORTGAGE","B",10000,0,0.06,"N","0-15","11-13.5"
"302",15000,"OTHER","C",3175,1,0.21,"Y","0-15","11-13.5"
"303",96000,"RENT","Other",25000,1,0.26,"Y","0-15","13.5+"
"304",15120,"MORTGAGE","B",1500,0,0.1,"N","0-15","8-11"
"305",97908,"RENT","Other",25000,1,0.26,"Y","0-15","11-13.5"
"306",110000,"RENT","C",25000,0,0.23,"Y","0-15","Missing"
"307",15204,"MORTGAGE","A",2800,1,0.18,"N","0-15","8-11"
"308",159600,"RENT","Other",30000,1,0.19,"Y","0-15","13.5+"
"309",171500,"RENT","A",18000,0,0.1,"N","0-15","8-11"
"310",170004,"MORTGAGE","B",10000,0,0.06,"N","0-15","11-13.5"
"311",158004,"RENT","Other",25000,1,0.16,"Y","0-15","13.5+"
"312",170000,"RENT","B",13000,0,0.08,"N","0-15","11-13.5"
"313",83300,"RENT","Other",25000,1,0.26,"N","0-15","Missing"
"314",110000,"RENT","Other",25000,0,0.23,"Y","0-15","13.5+"
"315",15360,"OTHER","B",2500,1,0.16,"N","0-15","11-13.5"
"316",134300,"RENT","Other",5000,1,0.03,"N","0-15","13.5+"
"317",170000,"MORTGAGE","A",20000,0,0.12,"N","0-15","0-8"
"318",100580,"RENT","Other",25000,1,0.25,"Y","0-15","13.5+"
"319",113000,"RENT","C",25000,0,0.22,"Y","0-15","11-13.5"
"320",120000,"RENT","B",25000,0,0.21,"N","0-15","8-11"
"321",120000,"RENT","B",25000,0,0.21,"N","0-15","8-11"
"322",120000,"RENT","B",25000,0,0.21,"N","0-15","8-11"
"323",91800,"RENT","Other",25000,1,0.23,"Y","0-15","13.5+"
"324",15600,"OTHER","A",1000,0,0.06,"N","0-15","0-8"
"325",108000,"RENT","Other",25000,1,0.23,"N","0-15","13.5+"
"326",129996,"RENT","B",25000,0,0.19,"N","0-15","8-11"
"327",130000,"RENT","Other",25000,0,0.19,"Y","0-15","13.5+"
"328",130000,"RENT","B",25000,0,0.19,"N","0-15","11-13.5"
"329",170000,"OTHER","B",20000,0,0.12,"N","0-15","11-13.5"
"330",170000,"MORTGAGE","C",12000,0,0.07,"Y","0-15","13.5+"
"331",169000,"RENT","B",14000,0,0.08,"N","0-15","11-13.5"
"332",168750,"RENT","C",24250,0,0.14,"Y","0-15","11-13.5"
"333",168600,"RENT","B",20000,0,0.12,"N","0-15","11-13.5"
"334",168288,"RENT","B",1800,0,0.01,"N","0-15","11-13.5"
"335",168000,"MORTGAGE","B",35000,0,0.21,"N","0-15","8-11"
"336",133300,"RENT","B",25000,0,0.19,"N","0-15","8-11"
"337",15600,"OTHER","A",3300,1,0.21,"N","0-15","0-8"
"338",134000,"RENT","Other",25000,0,0.19,"Y","0-15","13.5+"
"339",134000,"RENT","B",25000,0,0.19,"N","0-15","8-11"
"340",15600,"OTHER","Other",3200,1,0.21,"N","0-15","13.5+"
"341",135000,"RENT","B",25000,0,0.19,"N","0-15","11-13.5"
"342",135660,"RENT","B",25000,0,0.18,"N","0-15","11-13.5"
"343",145000,"RENT","B",25000,0,0.17,"N","0-15","8-11"
"344",150000,"RENT","B",25000,0,0.17,"N","0-15","8-11"
"345",165000,"MORTGAGE","A",9600,0,0.06,"N","0-15","0-8"
"346",153000,"MORTGAGE","Other",24000,1,0.16,"Y","0-15","13.5+"
"347",165000,"MORTGAGE","B",20000,0,0.12,"N","0-15","8-11"
"348",165000,"MORTGAGE","Other",25000,0,0.15,"N","0-15","13.5+"
"349",165000,"MORTGAGE","A",20000,0,0.12,"N","0-15","0-8"
"350",16000,"OTHER","A",6000,1,0.38,"N","0-15","0-8"
"351",16000,"MORTGAGE","C",2275,0,0.14,"Y","0-15","11-13.5"
"352",16000,"OTHER","A",2000,0,0.13,"N","0-15","0-8"
"353",148000,"RENT","Other",25000,1,0.17,"N","0-15","13.5+"
"354",16000,"MORTGAGE","C",5600,1,0.35,"N","0-15","11-13.5"
"355",16020,"OTHER","Other",3625,1,0.23,"Y","0-15","13.5+"
"356",16094,"MORTGAGE","A",5500,1,0.34,"N","0-15","0-8"
"357",175000,"RENT","A",25000,0,0.14,"N","0-15","8-11"
"358",16200,"OTHER","B",2000,0,0.12,"N","0-15","11-13.5"
"359",185000,"RENT","C",25000,0,0.14,"Y","0-15","11-13.5"
"360",162000,"RENT","C",25000,0,0.15,"N","0-15","11-13.5"
"361",161000,"RENT","A",30000,0,0.19,"N","0-15","0-8"
"362",160000,"MORTGAGE","B",35000,0,0.22,"N","0-15","8-11"
"363",225000,"RENT","B",25000,0,0.11,"N","0-15","11-13.5"
"364",16400,"OTHER","A",5000,1,0.3,"N","0-15","8-11"
"365",16500,"OTHER","B",4375,1,0.27,"N","0-15","8-11"
"366",49500,"RENT","C",24750,1,0.5,"N","0-15","13.5+"
"367",60000,"RENT","B",24750,1,0.41,"N","0-15","8-11"
"368",84200,"RENT","C",24500,0,0.29,"N","0-15","13.5+"
"369",16800,"MORTGAGE","B",2000,0,0.12,"N","0-15","8-11"
"370",92000,"RENT","B",24500,0,0.27,"N","0-15","11-13.5"
"371",160000,"MORTGAGE","A",35000,0,0.22,"N","0-15","0-8"
"372",160000,"MORTGAGE","Other",12000,0,0.07,"N","0-15","13.5+"
"373",160000,"MORTGAGE","B",12000,0,0.07,"N","0-15","8-11"
"374",160000,"RENT","C",25000,0,0.16,"Y","0-15","11-13.5"
"375",125800,"MORTGAGE","Other",10000,1,0.07,"N","0-15","13.5+"
"376",54000,"RENT","C",24250,1,0.45,"N","0-15","13.5+"
"377",62500,"RENT","B",24250,1,0.39,"N","0-15","8-11"
